Item_Name,Stock,Avg_Daily_Demand,Days_Until_Stockout
"Seals 9895",7,5,1.4
"Tools 4368",7,3,2.3
"Clamps 9416",16,7,2.3
"Seals 3205",9,3,3.0
"Filters 1011",28,9,3.1
"Gaskets 9299",28,9,3.1
"Bearings 8718",33,10,3.3
"Gaskets 7195",28,7,4.0
"Hoses 5183",17,4,4.3
"Tools 6392",31,7,4.4
"Hoses 3668",36,7,5.1
"Filters 4123",52,10,5.2
"Seals 1574",63,10,6.3
"Hoses 7300",65,10,6.5
"Seals 6493",28,4,7.0
"Bearings 8732",71,10,7.1
"Hoses 9107",30,4,7.5
"Filters 3248",16,2,8.0
"Tools 8012",31,3,10.3
"Hoses 4798",53,5,10.6
"Bearings 1816",34,3,11.3
"Clamps 2006",36,3,12.0
"Bearings 7697",45,3,15.0
"Clamps 1908",42,2,21.0
"Filters 8066",63,3,21.0
"Seals 2626",63,2,31.5
"Filters 7458",42,1,42.0
"Gaskets 4496",89,2,44.5
