Scraped_Title,Price,Rating,Seller
"Ball Bearing - Window Position 656",4450.68,5,"Clayton, Martinez and Shannon"
"Clamp - Person Increase 736",3832.58,5,"Bell, Delacruz and Hill"
"Rubber Gasket - Artist Suffer 275",7877.37,5,"Williams PLC"
"Rubber Gasket - Action Company 991",6905.32,5,"Carter, Barnett and Garrett"
"Rubber Gasket - Action Company 991",6905.32,5,"Carter, Barnett and Garrett"
"Hose Pipe - Rock Full 394",8407.54,5,"Hahn PLC"
"Hose Pipe - Rock Full 394",8407.54,5,"Hahn PLC"
"Hydraulic Filter - Decide Second 552",1306.26,5,"Higgins, Brown and Tucker"
"Clamp - Either Garden 916",4917.41,5,"Klein and Sons"
"Clamp - Either Garden 916",4917.41,5,"Klein and Sons"
